EID,NAME,ADDR1,ADDR2,CITY,PHONE,EMAIL,DOB,DOJ
1055,ASHUTOSH KUMAR,B2/204,JANAK PURI WEST,DELHI,9991111170,AK55@OUTLOOK.COM,10-01-1998,08-08-2019
1056,RAJEEV SHARMA,B203 STREET NO 6,RAJEDER NAGAR ,PUNE,9787756760,RS56@OUTLOOK.COM,12-12-1998,09-09-2019
1057,ABHINAV GHOSH,HNO 305,SECTOR 15,PUNE,9787777700,AG57@OUTLOOK.COM,01-01-1998,09-09-2019
1058,PUMMY SINGH,TEACHERS COLONY,SECTOR 17,CHANDIGARH,9899675470,PUM58@OUTLOOK.COM,01-01-1999,09-09-2019
1059,AMAN MUDGAL,B502 - POLICE COLONY,PRETAMPURA,PUNE,9999787860,AM59@GMAIL.COM,10-10-1989,12-12-2019
1060,GAURAV GUPTA,HOUSE NO  305,RAJENDER PARK,DEHRADUN,9999008989,GG61@GMAIL.COM,01-01-1987,12-12-2019
1061,RAGHUVEER SINGH,B72/3 TEACHERS COLONY,SECTOR 25,CHANDIGARH,9899787870,RS61@OUTLOOK.COM,10-01-1997,12-12-2019
1062,ABHISHEK KUMAR,4231,DLF PHASE 3,GURGAON,9899781111,AK62@OUTLOOK.COM,12-03-1999,12/15/2019
1063,GAGAN KAPOOR,256 UDYOUG VIGAR,SECTOR 12,GURGAON,9999808070,GK63@OUTLOOK.COM,10-10-1998,12/21/2019
1064,RAJ KUMAR,HNO 120 LANE 6,SECTOR 12,GURGAON,9899898980,RK64@GMAIL.COM,12-12-1989,12/20/2019
1065,SANDEEP SHARMA,SECTOR 32,GEETA COLONY,CHANDIGARH,9899898970,SS065@GMAIL.COM,12/25/1989,12/25/2019
1066,ABHISHEK BHIST,HNO 420 SIDDHARTH COLONY,GORE GAON,PUNE,9899898909,AB66@OUTLOOK.COM,01-01-1998,12/26/2019
1067,CHARAN PRASAD,256/1 TEACHERS COLONY,MINAR ROAD,CHANDIGARH,8686446163,hcprasad09@gmail.com,09-10-1992,01-01-2020
1068,SUNANDA SHARMA,HNO 120 LANE NO 6,RAJEBDER NAGAR,PUNE,8988989877,SUNANDA@GMAIL.COM,10-04-1990,01-01-2020
1069,GOPI CHARAN,HNO 1271/4,ANDHARI WEST,MUMBAI,8988900011,GC@GMAIL.COM,03-04-1990,01-01-2020
1070,ANJANI RAO,420/5 GEETA COLONY,ANDHARI WEST,MUMBAI,9999009090,ARA0@GMAIL.COM,10-10-1999,01-01-2020
1071,HARDIK SHARMA,4035 GOPALDAS BUILDING,ANDHARI EAST,MUMBAI,9999000056,HS071@OUTLOOK.COM,3/15/1997,01-02-2020
1072,SARVAN KUMAR,SECTOR 12,DWARKA,DELHI,8899880976,SK71@OUTLOOK.COM,10-10-1991,02-02-2020
1073,RAJAN SOOD,267 UDYOG VIHAR,PHASE 2,GURGAON,9876565643,RS073@OUTLOOK.COM,10-10-1989,02-03-2020
1074,AJAY SHRISTAVA,SURBHI APARTMENTS,DWARKA SEC 22,DELHI,9888989071,SHRIA74@OUTLOOK.COM,10-10-1999,3/13/2020
1075,AJAY MALIK,C2-151,GEETA COLONY,CHANDIGARH,9877876543,AJAY075@OUTLOOK.COM,11-10-1999,01-04-2020
1076,YAHOO SINGH,HNO120 LANE 13,ANDHARI EAST,MUMBAI,9099897654,YAHOO76GMAIL.COM,01-01-1998,04-03-2020
1077,AJAY MALIK,HNO50/4,RAJPUR ROAD,DEHRADUN,9899098765,AM77@GMAIL.COM,10-10-1997,04-05-2020
1078,ALBERT SON,HNO 120 LANE 4,H.K. VILLAGE,PUNE,9899090909,ALBERT@YAHOO.COM,01-10-1997,4/13/2020
1079,ROBERT BEN,B2/65 LANE 6,PARK STREET,PUNE,9999009987,RBEN@OUTLOOK.COM,10-01-1998,4/15/2020
1080,MUKESH BANSAL,HNO150 BLOCK 4,RADHIKA APARTMENTS,PUNE,9899990909,MB80@OUTLOOK.COM,10-10-1995,5/17/2020
1081,PRASHANT MISHRA,DLF PHASE 2,INDRAPURAM,GURGAON,9811235654,PM@GMAIL.COM,09-10-1995,4/19/2000
1082,AKBHAR AHMED,HNO 110 LANE 5,RAMA APARTMENTS,PUNE,9811343210,AA@GMAIL.COM,10-10-1994,4/25/2000
1083,RITIKA GUPTA,RAMA APARTMENTS,SECTOR 17,CHANDIGARH,9877878765,RITIKA@GMAIL.COM,10-01-1990,4/26/2020
1084,ARTI SONI,NAVYOG APARTMENTS, SECTOR 5 DWARKA,DELHI,9999876543,AS@GMAIL.COM,03-10-1989,4/30/2020
1085,AJAY MALIK,HNO125,RAJPUR ROAD,DEHRADUN,9811454531,AM85@GMAIL.COM,05-07-1990,05-01-2020
1086,ROHAN SAINI,H26-LANE 4,RAJOURI GARDEN,DELHI,9899765432,RS86@GMAIL.COM,01-10-1991,05-02-2020
1087,ROSHAN SOOD,B2/13,SECTOR 17,CHANDIGARH,98111465631,RSOOD@OUTLOOK.COM,5/13/1990,05-06-2021
1088,SANJAY GOYAL,B26/1,MODEL TOWN,PUNE,98000124310,SGOYAL@YAHOO.COM,01-12-1989,05-07-2020
1089,SANJEEV SINGH,B301 NEAR GURUDWARA,SECTOR 3 DWARKA,DELHI,9899267890,SSINGH@GMAIL.COM,01-10-1990,05-08-2020
1090,RAVINDER SING,120/3,SECTOR 5,GURGAON,9811456542,RS90@GMAIL.COM,5/13/1989,05-09-2020
1091,GAGAN SHARMA,B502,ANDHARI WEST,MUMBAI,9811098760,GSHARMA@GMAIL.COM,05-10-1998,05-09-2020
1092,GAGANDEEP SINGH,HNO 150 LANE 1,SECTOR 5,GURGAON,98111099876,GS92@GMAIL.COM,10-01-1989,05-10-2020
1093,AJAY MALIK,HNO NO 120 STREET 6,RAJENDER NAGAR,DEHRADUN,9800245670,AJAY@GMAIL.COM,05-06-1985,05-11-2020
1094,BALDEEP SINGH,SECTOR 3,GGR COLONY,PUNE,98111897610,BS93@GMAIL.COM,05-10-1990,05-11-2020
1095,RAMAN VERMA,HIG SOCIETY,SECTOR 17,CHANDIGARH,9811098765,RVERMA95@YAHOO.CO.IN,1/13/1999,05-12-2020
1096,AVINASH GUPTA,HNO. 256,RAJPUR ROAD,DEHRADUN,98111909890,AG96@GMAIL.COM,05-10-1997,5/14/2020
1097,MANDEEP SHARMA,STREET NO 6,RAJENDER NAGAR,DEHRADUN,9999880978,MS97@GMAIL.COM,5/18/1998,5/14/2021
1098,ROHAN SAHANI,HNO 120 ,SECTOR 5,GURGAON,9811897654,RS@OUTLOOK.COM,5/13/1995,5/17/2020
1099,ABHISHEK SINGH,HNO 110,LINK ROAD,PUNE,9999999989,ASINGH@OUTLOOK.COM,6/18/1998,5/18/2020
1100,PARMINDER SINGH,B32/8,RAJENDER PARK,DEHRADUN,9811898760,PARAM@GMAIL.COM,05-12-1998,5/19/2020
1101,RAVINDER SINGH,HNO 10 BLOCK A,TEACHERS COLONY,CHANDIGARH,9899098123,RSINGH@GMAIL.COM,5/13/1999,5/20/2020
1102,AJAY MALIK,HNO 120 STREET 6,RAJENDER NAGAR,DEHRADUN,9811111120,AJAYM@GMAIL.COM,5/15/1997,5/21/2020
1103,KULDEEP SINGH,145/7 LANE 6,RAJENDER NAGAR,DEHRADUN,9899090100,KS@GMAIL.COM,5/18/1995,5/22/2020
1104,ABHISHEK KUMAR,RAMA APARTMENTS,SECTOR 11 DWARKA,DELHI,9811111180,AK@GMAIL.COM,5/20/1997,5/23/2020
1105,ABHINAV KUMAR,BLOCK 5,DLF PHASE 2,GURGAON,9999998765,AK05@GMAIL.COM,6/13/1997,5/24/2020
1106,RAVINDER RAWAT,HNO 120  STREET 6,RAJENDER NAGER,DEHRADUN,9999009999,RRDDN@GMAIL.COM,10-10-1994,5/26/2020
1107,KAPIL GUPTA,245 UDYOG VIHAR,PHASE 5,GURGAON,9811765651,KG07@GMAIL.COM,10/13/1998,5/30/2020
1108,AVADH KUMAR,RAMA APARTMENTS,SECTOR 11,PUNE,9811455460,AK08@GMAIL.COM,05-10-1990,06-01-2020
1109,ANKIT SHARMA,HNO 120,SECTOR 68,PUNE,9099765432,AS09@GMAIL.COM,1/13/1990,06-02-2020
1110,RAJ KUMAR,OM SATYAM APARTMENTS,SECTOR 3 DWARKA,DELHI,9899765430,RK10@OUTLOOK.COM,1/13/1993,06-03-2020
1111,ARVIND KUMAR,HNO 360 LANE 5,PALAM COLONY,PUNE,9811987650,AK11@GMAIL.COM,01-12-1997,06-04-2020
1112,RANJEET SINGH,HNO 120,SECTOR 62,GURGAON,9899876890,RANJEET@GMAIL.COM,7/15/1996,06-05-2020
1113,PROMOD GUPTA,HNO-5 STREET 6,RAJENDER NAGAR,DEHRADUN,9899090123,PG13@GMAIL.COM,7/13/1994,06-06-2020
1114,AMIT SOOD,HNO 510,SECTOR 17D,GURGAON,9811787761,ASOOD@GMAIL.COM,7/17/1995,06-07-2020
1115,VINAY SING,HNO 120 STREET NO 6,RAJENDER NAGER,DELHI,9811213240,VSINGH@GMAIL.COM,8/13/1995,06-08-2021
1116,AKILESH BIST,HNO341/3,SECTOR 78,NOIDA,98111765401,ABIST@GMAIL.COM,8/13/1994,06-09-2021
1117,SHASHI JUYAL,PLOT NO 95 SECTOR 4,RAJENDER NAGAR,DELHI,9999911087,SHASHI@GMAIL.COM,08-10-1993,05-10-2021
1118,GAURAV SHARMA,HNO.267,SECTOR 17,GURGAON,9811786510,GSHARMA02@GMAIL.COM,08-10-1995,07-09-2020
1119,PAVAN KUMAR,HNO 256,SECTOR 28,GURGAON,9811454314,PAVAN@GMAIL.COM,8/25/1994,07-10-2020
1120,NAVAL KISHOR,256 PREET VIHAR,EAST DELHI,DELHI,9811118010,NK20@GMAIL.COM,09-05-1993,07-10-2020
1121,JITENDRA KUMAR,SECTOR 78,MAHAGUN APARTMENTS,NOIDA,9800907650,JK21@GMAIL.COM,9/13/1993,07-11-2020
1122,NAVEEN KUMAR,4-CHANDER ROAD ,DALANWALA,DEHRADUN,9811234567,NK22@GMAIL.COM,9/28/1995,07-12-2020
1123,ABHINAV SINGH,459 UDYOG VIHAR,PHASE 2,GURGAON,98111767098,ABHINAVS@GMAIL.COM,10-01-1997,7/13/2020
1124,AMIT AGARWAL,HNO 120,PALAM COLONY,GURGAON,9876543432,AMIT@GMAIL.COM,10-10-1992,7/14/2020
1125,RAVINDER RANA,C2/10,DLF PHASE 2,GURGAON,9877654543,RRANA@GMAIL.COM,10/13/1995,7/15/2020
1126,DAINEL BOSE,SUSHANT LOK,PHASE 2,GURGAON,9811111190,DB26@OUTLOOK.COM,10-10-1992,7/16/2020
1127,NEHA RAWAT,5 CEMENT ROAD,KARANPUR,DEHRADUN,9811233210,NEHA@GMAIL.COM,10-10-1995,7/16/2020
1128,NIDHI KHURANA,DLF PASE 2,SECTOR 18,GURGAON,9899091111,NIDHIK@GMAIL.COM,06-10-1991,7/17/2020
1129,AMIT GUPTA,SECTOR 11,DWARKA,DELHI,9999990987,AG29@GMAIL.COM,3/13/1995,7/20/2000
1130,AKETA GUPTA,B32 JAY MAA APARTMENTS,SECTOR 5 DWARKA,DELHI,9811123210,AKETAG30@GMAIL.COM,06-10-1992,7/20/2020
1131,ABHISHEK RAWAT,HNO 120 STREET 4,ARYA NAGAR,DEHRADUN,9811156434,AR@GMAIL.COM,1/13/1995,7/21/2020
1132,NAVEEN BHATT,25 RAJENDER NAGAR,STREET 6,DEHRADUN,98111432150,NBHATT@GMAIL.COM,01-01-1990,7/22/2020
1133,NAVAL KISHOR,FLAT NO 134,YAMUNA VIHAR,DELHI,9899234315,NK33@YAHOO.COM,01-05-1991,7/23/2020
1134,ROHAN MALHOTRA,SURYA APARTMENTS,ANDHARI,MUMBAI,9899245432,RM34@GMAIL.COM,3/14/1993,7/24/2020
1135,ABHISHEK RANA,HNO NO35 STREET 6,ARYA NAGAR,DEHRADUN,9877676550,ARANA@GMAIL.COM,6/13/1995,7/25/2020
1136,RAJAT MATHUR,RAJENDER VIHAR,EAST DELHI,DELHI,9899633258,RAJATM@GMAIL.COM,1/17/1989,7/30/2020
1137,ABHISHEK KHURANA,46 /1 STREET 6,RAJENDER NAGAR,DEHRADUN,9888887690,AKHURANA@GMAIL.COM,01-08-1995,08-01-2020
1138,KARUNA SHARMA,SECTOR 56,GC ROAD,GURGAON,9811654321,KSHARMA38@GMAIL.COM,01-01-1993,08-10-2020
1139,HARVAINDER KUMAR,GEETA COLONY,SECTOR 17,CHANDIGARH,9811212190,HK39@GMAIL.COM,01-10-1994,8/20/2020
1140,HARPEET KAUR,B2 GEETA APARTMENTS,SECTOR 17,CHANDIGARH,9911229870,HARPREET@GMAIL.COM,03-03-1996,8/20/2020
1141,GEETA CHOPRA,BALCO APARTMENTS,SECTOR 62,GURGAON,9811132310,CHOPRAG@GMAIL.COM,03-10-1995,8/21/2020
1142,PRIYANKA SINGH,HNO 156,SECTOR 7,CHANDIGARH,9811111220,ABC@GMAIL.COM,1/26/1998,8/24/2020
1143,MADAN NAGAR,GAUR CITY 2,SECTOR 79,NOIDA,9788754650,MAN@GMAIL.COM,10/29/1992,8/26/2020
1144,PROMOD KUMAR,DREAMS APARTMENTS,DWARKA SEC 21,DELHI,9199187560,PKUMAR@GMAIL.COM,03-12-1995,8/27/2020
1145,AVAD KUMAR,GAUR CITY,SEC 78,NOIDA,9000876908,AK45@GMAIL.COM,10-12-1997,8/29/2020
1146,MANPREET KAUR,ARMY COLONY,SECTOR 17,CHANDIGARH,9999001100,MAN@YAHOO.COM,10-10-1997,8/30/2020
1147,RAMANDEEP SINGH,HNO NO 35 LANE 5,SECTOR 15,CHANDIGARH,9899999910,RAMAN@GMAIL.COM,3/20/1995,09-01-2020
1148,PRIYANKA KAPOOR,SECTOR 90,VATIKA GREENS,GURGAON,9999000006,PK48@GMAIL.COM,2/14/1999,09-05-2020
1149,SHASHI BHATT,HNO 36 LANE NO 5,GMS ROAD,DEHRADUN,9811111102,SHASHI@YAHOO.COM,2/24/1995,09-06-2020
1150,GIRANDER RAWAT,HNO 5 STREET NO 6,ARYA NAGAR,DEHRADUN,9999009789,RAWATG@GMAIL.COM,2/13/1996,09-07-2020
1151,KARAN THAKUR,GAUR CITY,SECTOR 62,NOIDA,9777474100,KARAN@YOHOO.COM,2/17/1994,09-08-2020
1152,RAJANI MEHTA,GAUR CITY2,SECTOR 78,NOIDA,9899696969,RM25@GMAIL.COM,2/26/1998,09-09-2020
1153,KAMAL GULATI,B32 BLOCK C,RAJOURI GARDEN,DELHI,9811111110,KAMAL@GMAIL.COM,2/28/1995,09-10-2020
1154,PAWAN SACHDEV,240/4 BLOCK D,VASANT KUNJ,DELHI,9811115520,PAWANSACH@GMAIL.COM,3/15/1992,9/15/2020
1155,PUMMY KAUR,RAJDHANI APARTMENTS,SECTOR 17 B,CHANDIGARH,9897488880,PUMMY@YAHOO.COM,10/13/1999,9/16/2020
1156,KAVITA GOYAL,5 CEMENT ROAD,KARAN PUR,DEHRADUN,9811789870,KGOYAL@GMAIL.COM,12/15/1991,9/20/2020
1157,RAVNEENA GUPTA,SECTOR 21,DWARKA,DELHI,9855146980,RGUPTA@YAHOO.COM,03-12-1991,9/21/2020
1158,RAJANI SINGH,DREAMS APARTMENTS,DWARKA SECTOR 22,DELHI,9888589960,RAJANISINGH@GMAIL.COM,3/27/1995,9/30/2020
1159,PARAMJEET SINGH,RAMA APARTMENTS,SECTOR 16B,CHANDIGARH,9899858580,PSINGH@YAHOO.COM,3/26/1994,10-01-2020
1160,SANJAY SHARMA,A1032 CROSSING REPUBLIC,SECTOR 78,NOIDA,98111458510,SSHARMA@GMAIL.COM,03-10-1995,10-02-2020
1161,ANKIT AGARWAL,B401 ECO VILLAGE 2,SECTOR 87,NOIDA,9811112203,AA61@GMAIL.COM,03-10-1995,10-03-2020
1162,INDERJEET SINGH,SUPER TECH ECO VILLAGE 2,SECTOR 68,NOIDA,9889807070,ISINGH@YAHOO.COM,04-12-1995,10-04-2020
1163,RONIKA SINGH,ECO VILLAGE 2,SECTOR 68,NOIDA,9811555590,RONISINGH@GMAIL.COM,04-01-1996,10-05-2020
1164,BALDEEP SINGH,DEV APARTMENTS,SECTOR 17 B,CHANDIGARH,9811000039,BSINGH@YAHOO.COM,5/26/1995,10-06-2020
1165,GOPI KUMAR,CROSSING REPUBLIC,SECTOR 78,NOIDA,98111676700,GOPI@GMAIL.COM,05-12-1992,10-10-2020
